Cuestions;Answers;Categories
El idioma más antiguo de Europa que aún se sigue usando es el euskera .; euskera ;Historia
La antimateria se lleva el récord como lo más caro del mundo .; caro ;Física
La galaxia más cercana a la Vía Láctea es Andrómeda .; Andrómeda ;Astronomía
Groenlandia pertenece administrativamente a Dinamarca .; Dinamarca ;Geografía
El término médico para el mal aliento es halitosis .; halitosis ;Medicina
El término médico para el mal aliento es halitosis .; aliento ;Medicina
La primera civilización del mundo se considera que fue la sumeria .; sumeria ;Historia
La temperatura más baja del planeta se ha registrado en la Antártida .; Antártida ;Geografía
El videojuego más vendido de la historia es Minecraft .; Minecraft ;General
El triángulo que tiene sus tres lados y ángulos iguales se llama equilátero .; equilátero ;Matemáticas
El último zar de Rusia fue Nicolás II .; ii ;Historia
El Imperio Romano de Occidente cayó en el año 476 .; 476 ;Historia
El Imperio Romano de Occidente cayó en el año 476 .; Romano ;Historia
La insulina se produce en el páncreas .; páncreas ;medicina
El lagarto más grande del mundo es el Komodo .; Komodo ;Biología
El emperador romano que legalizó el cristianismo fue Constantino .; Constantino ;Historia
La Unión Soviética se disolvió en 1991 .; 1991 ;Historia
Pi equivale a aproximadamente 3,1415926535 .; Pi ;Matemáticas
El chino es la lengua más hablada del mundo por nativos .; chino ;Historia
El nombre clave de la batalla de Normandía durante la Segunda Guerra Mundial fue Overlord .; Overlord ;Historia
En la mitología griega, Aquiles fue matado por Paris .; Paris ;Cultura
La temperatura más alta registrada en el planeta fue de 80 grados Celsius .; 80 ;Ciencia
La época geológica en la que nos encontramos actualmente es el Holoceno .; Holoceno ;Ciencia
La edad de la Tierra es de aproximadamente 4500 millones de años .; 4500 ;Astronomía
La hormona que provoca el estrés es el cortisol .; cortisol ;Medicina
El vegetal que lleva el nombre de una ciudad europea es Bruselas .; Bruselas ;Cultura
La obra La riqueza de las naciones fue escrita por Adam Smith en año 1776 .; naciones ;política
La obra La riqueza de las naciones fue escrita por Adam Smith en año 1776 .; 1776 ;política
El primer metal que usó el hombre fue el cobre .; cobre ;Ciencia
Rabat es la capital de Marruecos .; Marruecos ;Geografía
El último faraón egipcio fue Ramsés iii .; iii ;Historia
El último faraón egipcio fue Ramsés iii .; Ramsés ;Historia
Helsinki es la capital de Finlandia .; Finlandia ;Geografía
El chorizo es originario de España .; España ;Cultura
La primera computadora del mundo se llamaba ENIAC .; ENIAC ;Cultura
A la luna le toma 29 días atravesar todas sus fases .; 29 ;Astronomía
El desastre del Hindenburg ocurrió en 1937 .; 1937 ;Historia
La popular ciudad de Tombuctú se encuentra en Malí .; Malí ;Geografía
La Gran Barrera de Coral se encuentra en Australia .; Australia ;Geografía
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; oxígeno ;Biología
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; hidrógeno ;Biología
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; nitrógeno ;Biología
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; carbono ;Biología
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; calcio ;Biología
Los elementos químicos principales que componen al ser humano son oxígeno, hidrógeno, nitrógeno, carbono, calcio y fósforo .; fósforo ;Biología
La isla más grande del Mar Caribe es Cuba .; Cuba ;Geografía
La bolsa de valores se creó en Holanda .; Holanda ;política
Antes del euro, en Alemania se usaba el marco .; marco ;política
La trigonometría se encarga del estudio de los triángulos .; triángulos ;Matemáticas
Nuestro planeta describe una elipse alrededor del sol .; elipse ;Astronomía
A lo largo de la historia, el oro ha sido usado como patrón de dinero .; oro ;política
Los elementos básicos que componen una pieza musical son la melodía .; melodía ;Música
El último soberano inca fue Atahualpa .; Atahualpa ;Historia
El cohete que llevó a los astronautas en su primera misión a la Luna fue el Saturno V .; Luna ;Astronomía
Los electrones tienen carga negativa .; electrones ;Física
Los electrones tienen carga negativa .; negativa ;Física
La velocidad del sonido es de aproximadamente 343,2 metros por segundo .; sonido ;Física
El calendario gregoriano fue inventado en España .; España ;Historia
El Padrino se estrenó en 1972 .; 1972 ;Cultura
El primer viaje de The Beatles a Estados Unidos fue en 1964 .; 1964 ;Música
El animal nacional de Australia es el canguro .; canguro ;Biología
La primera píldora anticonceptiva estuvo disponible en 1960 .; 1960 ;Medicina
El segundo nombre de Michael Jackson era Joseph .; Joseph ;Música
Una piscina olímpica mide 50 metros .; piscina ;General
Marie Curie fue la primera mujer en ganar un Premio Nobel .; Nobel ;Ciencia
El océano más grande de la Tierra es el Pacífico .; Pacífico ;Geografía
La bebida elaborada más consumida en todo el mundo es el té .; té ;Cultura
El rey del Reino Unido es la única persona que puede conducir sin licencia .; conducir ;General
Michael Phelps es el deportista más laureado en la historia de los Juegos Olímpicos .; Olímpicos ;Historia
La miel es el único alimento comestible que nunca se daña .; miel ;Ciencia
Cortés y sus hombres tomaron el Imperio Azteca en 2 años .; Azteca ;Historia
El helado fue inventado en China .; China ;Cultura
El queso gouda fue creado y luego exportado desde Holanda .; Holanda ;Cultura
El escritor que creó el personaje de Sherlock Holmes fue Arthur Conan Doyle .; Arthur ;Literatura
El continente más grande del planeta es Asia .; Asia ;Geografía
La Premier League fue fundada en 1992 .; 1992 ;Cultura
El unicornio es el animal nacional de Escocia .; Escocia ;Cultura
En estado sólido, los átomos se encuentran más apretujados .; apretujados ;Ciencia
Los romanos llamaban a Escocia Caledonia .; Caledonia ;Historia
John Adams fue el primer presidente que vivió en la Casa Blanca .; Blanca ;Historia
La primera universidad fundada en Estados Unidos fue Harvard .; Harvard ;General
El fémur es el hueso más fuerte y más largo del cuerpo humano .; fémur ;biologia
El diamante es la sustancia natural más dura que podemos encontrar en la naturaleza .; diamante ;Ciencia
La vitamina que podemos obtener al exponernos al sol es la vitamina D .; D ;medicina
El único metal que se encuentra en estado líquido a temperatura ambiente es el mercurio .; mercurio ;Química
El sistema operativo Windows XP fue lanzado en 2001 .; 2001 ;Cultura
El Monte Rushmore se encuentra en Dakota .; Dakota ;Geografía
La sede de la Organización Mundial de la Salud (OMS) se encuentra en Suiza .; Suiza ;General
La Duma es el parlamento de Rusia .; Rusia ;Política
Para visitar la casa de Ana Frank, debes ir a Holanda .; Holanda ;General
En la Antártida no es posible encontrar hormigas .; Antártida ;Biología
Una piña se encuentra en la parte superior del trofeo de Wimbledon masculino .; piña ;General
la capital de Afganistán es Kabul .; Kabul ;Geografía
la capital de Albania es Tirana .; Tirana ;Geografía
la capital de Alemania es Berlín .; Berlín ;Geografía
la capital de Andorra es Andorra la Vieja .; Vieja ;Geografía
la capital de Angola es Luanda .; Luanda ;Geografía
la capital de Antigua y Barbuda es Saint John .; Saint John ;Geografía
la capital de Arabia Saudita es Riad .; Riad ;Geografía
la capital de Argelia es Argel .; Argel ;Geografía
la capital de Armenia es Ereván .; Ereván ;Geografía
la capital de Australia es Canberra .; Canberra ;Geografía
la capital de Austria es Viena .; Viena ;Geografía
la capital de Azerbaiyán es Bakú .; Bakú ;Geografía
la capital de Bahamas es Nasáu .; Nasáu ;Geografía
la capital de Bangladés es Daca .; Daca ;Geografía
la capital de Barbados es Bridgetown .; Bridgetown ;Geografía
la capital de Baréin es Manama .; Manama ;Geografía
la capital de Bélgica es Bruselas .; Bruselas ;Geografía
la capital de Belice es Belmopán .; Belmopán ;Geografía
la capital de Benín es Porto-Novo .; Novo ;Geografía
la capital de Bielorrusia es Minsk .; Minsk ;Geografía
la capital de Birmania es Naipyidó .; Naipyidó ;Geografía
la capital de Bolivia es Sucre .; Sucre ;Geografía
la capital de Bosnia-Herzegovina es Sarajevo .; Sarajevo ;Geografía
la capital de Botsuana es Gaborone .; Gaborone ;Geografía
la capital de Brasil es Brasilia .; Brasilia ;Geografía
la capital de Brunéi es Bandar Seri Begawan .; Begawan ;Geografía
la capital de Bulgaria es Sofía .; Sofía ;Geografía
la capital de Burkina Faso es Uagadugú .; Uagadugú ;Geografía
la capital de Burundi es Buyumbura .; Buyumbura ;Geografía
la capital de Bután es Thimphu .; Thimphu ;Geografía
la capital de Cabo Verde es Praia .; Praia ;Geografía
la capital de Camboya es Nom Pen .; Nom Pen ;Geografía
la capital de Camerún es Yaundé .; Yaundé ;Geografía
la capital de Canadá es Ottawa .; Ottawa ;Geografía
la capital de Catar es Doha .; Doha ;Geografía
la capital de Chad es Yamena .; Yamena ;Geografía
la capital de Chile es Santiago .; Santiago ;Geografía
la capital de China es Pekín .; Pekín ;Geografía
la capital de Chipre es Nicosia .; Nicosia ;Geografía
la capital de Colombia es Bogotá .; Bogotá ;Geografía
la capital de Comoras es Moroni .; Moroni ;Geografía
la capital de Congo es Brazzaville .; Brazzaville ;Geografía
la capital de Corea del Norte es Pionyang .; Pionyang ;Geografía
la capital de Corea del Sur es Seúl .; Seúl ;Geografía
la capital de Costa de Marfil es Yamusukro .; Yamusukro ;Geografía
la capital de Costa Rica es San José .; José ;Geografía
la capital de Croacia es Zagreb .; Zagreb ;Geografía
la capital de Cuba es La Habana .; La Habana ;Geografía
la capital de Dinamarca es Copenhague .; Copenhague ;Geografía
la capital de Dominica es Roseau .; Roseau ;Geografía
la capital de Ecuador es Quito .; Quito ;Geografía
la capital de Egipto es El Cairo .; Cairo ;Geografía
la capital de El Salvador es San Salvador .; Salvador ;Geografía
la capital de Emiratos Árabes Unidos es Abu Dabi .; Abu Dabi ;Geografía
la capital de Eritrea es Asmara .; Asmara ;Geografía
la capital de Eslovaquia es Bratislava .; Bratislava ;Geografía
la capital de Eslovenia es Liubliana .; Liubliana ;Geografía
la capital de España es Madrid .; Madrid ;Geografía
la capital de Estados Unidos es Washington .; Washington  ;Geografía
la capital de Estonia es Tallin .; Tallin ;Geografía
la capital de Esuatini es Mbabane .; Mbabane ;Geografía
la capital de Etiopía es Adís Abeba .; Abeba ;Geografía
la capital de Filipinas es Manila .; Manila ;Geografía
la capital de Finlandia es Helsinki .; Helsinki ;Geografía
la capital de Fiyi es Suva .; Suva ;Geografía
la capital de Francia es París .; París ;Geografía
la capital de Gabón es Libreville .; Libreville ;Geografía
la capital de Gambia es Banjul .; Banjul ;Geografía
la capital de Georgia es Tiflis .; Tiflis ;Geografía
la capital de Ghana es Accra .; Accra ;Geografía
la capital de Granada es Saint George .; George ;Geografía
la capital de Grecia es Atenas .; Atenas ;Geografía
la capital de Guatemala es Guatemala .; Guatemala ;Geografía
la capital de Guinea es Conakri .; Conakri ;Geografía
la capital de Guinea Ecuatorial es Malabo .; Malabo ;Geografía
la capital de Guinea-Bisáu es Bisáu .; Bisáu ;Geografía
la capital de Guyana es Georgetown .; Georgetown ;Geografía
la capital de Haití es Puerto Príncipe .; Príncipe ;Geografía
la capital de Honduras es Tegucigalpa .; Tegucigalpa ;Geografía
la capital de Hungría es Budapest .; Budapest ;Geografía
la capital de India es Nueva Delhi .; Delhi ;Geografía
la capital de Indonesia es Yakarta .; Yakarta ;Geografía
la capital de Irak es Bagdad .; Bagdad ;Geografía
la capital de Irán es Teherán .; Teherán ;Geografía
la capital de Irlanda es Dublín .; Dublín ;Geografía
la capital de Islandia es Reikiavik .; Reikiavik ;Geografía
la capital de Islas Marshall es Majuro .; Majuro ;Geografía
la capital de Islas Salomón es Honiara .; Honiara ;Geografía
la capital de Italia es Roma .; Roma ;Geografía
la capital de Jamaica es Kingston .; Kingston ;Geografía
la capital de Japón es Tokio .; Tokio ;Geografía
la capital de Jordania es Amán .; Amán ;Geografía
la capital de Kazajistán es Astaná .; Astaná ;Geografía
la capital de Kenia es Nairobi .; Nairobi ;Geografía
la capital de Kirguistán es Biskek .; Biskek ;Geografía
la capital de Kiribati es Tarawa .; Tarawa ;Geografía
la capital de Kosovo es Pristina .; Pristina ;Geografía
la capital de Kuwait es Kuwait City .; Kuwait ;Geografía
la capital de Laos es Vientián .; Vientián ;Geografía
la capital de Lesoto es Maseru .; Maseru ;Geografía
la capital de Letonia es Riga .; Riga ;Geografía
la capital de Líbano es Beirut .; Beirut ;Geografía
la capital de Liberia es Monrovia .; Monrovia ;Geografía
la capital de Libia es Trípoli .; Trípoli ;Geografía
la capital de Liechtenstein es Vaduz .; Vaduz ;Geografía
la capital de Lituania es Vilna .; Vilna ;Geografía
la capital de Luxemburgo es Luxemburgo .; Luxemburgo ;Geografía
la capital de Macedonia del Norte es Skopie .; Skopie ;Geografía
la capital de Madagascar es Antananarivo .; Antananarivo ;Geografía
la capital de Malasia es Kuala Lumpur .; Lumpur ;Geografía
la capital de Malaui es Lilongüe .; Lilongüe ;Geografía
la capital de Maldivas es Malé .; Malé ;Geografía
la capital de Malí es Bamako .; Bamako ;Geografía
la capital de Malta es La Valeta .; Valeta ;Geografía
la capital de Marruecos es Rabat .; Rabat ;Geografía
la capital de Mauricio es Port Louis .; Louis ;Geografía
la capital de Mauritania es Nuakchot .; Nuakchot ;Geografía
la capital de México es México .; México ;Geografía
la capital de Micronesia es Palikir .; Palikir ;Geografía
la capital de Moldavia es Chisináu .; Chisináu ;Geografía
la capital de Mónaco es Mónaco .; Mónaco ;Geografía
la capital de Mongolia es Ulán Bator .; Ulán Bator ;Geografía
la capital de Montenegro es Podgorica .; Podgorica ;Geografía
la capital de Mozambique es Maputo .; Maputo ;Geografía
la capital de Namibia es Windhoek .; Windhoek ;Geografía
la capital de Nauru es Yaren .; Yaren ;Geografía
la capital de Nepal es Katmandú .; Katmandú ;Geografía
la capital de Nicaragua es Managua .; Managua ;Geografía
la capital de Níger es Niamey .; Niamey ;Geografía
la capital de Nigeria es Abuya .; Abuya ;Geografía
la capital de Noruega es Oslo .; Oslo ;Geografía
la capital de Nueva Zelanda es Wellington .; Wellington ;Geografía
la capital de Omán es Mascate .; Mascate ;Geografía
la capital de Países Bajos es Ámsterdam .; Ámsterdam ;Geografía
la capital de Pakistán es Islamabad .; Islamabad ;Geografía
la capital de Palaos es Melekeok .; Melekeok ;Geografía
la capital de Palestina es Jerusalén .; Jerusalén ;Geografía
la capital de Panamá es Panamá .; Panamá ;Geografía
la capital de Papúa Nueva Guinea es Puerto Moresby .; Moresby ;Geografía
la capital de Paraguay es Asunción .; Asunción ;Geografía
la capital de Perú es Lima .; Lima ;Geografía
la capital de Polonia es Varsovia .; Varsovia ;Geografía
la capital de Portugal es Lisboa .; Lisboa ;Geografía
la capital de Reino Unido es Londres .; Londres ;Geografía
la capital de República Centroafricana es Bangui .; Bangui ;Geografía
la capital de República Checa es Praga .; Praga ;Geografía
la capital de República Democrática del Congo es Kinsasa .; Kinsasa ;Geografía
la capital de República Dominicana es Santo Domingo .; Domingo ;Geografía
la capital de Ruanda es Kigali .; Kigali ;Geografía
la capital de Rumania es Bucarest .; Bucarest ;Geografía
la capital de Rusia es Moscú .; Moscú ;Geografía
la capital de Samoa es Apia .; Apia ;Geografía
la capital de San Cristóbal y Nieves es Basseterre .; Basseterre ;Geografía
la capital de San Marino es San Marino .; San Marino ;Geografía
la capital de San Vicente y las Granadinas es Kingstown .; Kingstown ;Geografía
la capital de Santa Lucía es Castries .; Castries ;Geografía
la capital de Santo Tomé y Príncipe es Santo Tomé .; Tomé ;Geografía
la capital de Senegal es Dakar .; Dakar ;Geografía
la capital de Serbia es Belgrado .; Belgrado ;Geografía
la capital de Seychelles es Victoria .; Victoria ;Geografía
la capital de Sierra Leona es Freetown .; Freetown ;Geografía
la capital de Singapur es Singapur .; Singapur ;Geografía
la capital de Siria es Damasco .; Damasco ;Geografía
la capital de Somalia es Mogadiscio .; Mogadiscio ;Geografía
la capital de Sri Lanka es Sri Jayawardenapura Kotte .; Kotte ;Geografía
la capital de Sudáfrica es Pretoria .; Pretoria ;Geografía
la capital de Sudán es Jartum .; Jartum ;Geografía
la capital de Sudán del Sur es Yuba .; Yuba ;Geografía
la capital de Suecia es Estocolmo .; Estocolmo ;Geografía
la capital de Suiza es Berna .; Berna ;Geografía
la capital de Surinam es Paramaribo .; Paramaribo ;Geografía
la capital de Tailandia es Bangkok .; Bangkok ;Geografía
la capital de Taiwán es Taipéi .; Taipéi ;Geografía
la capital de Tanzania es Dodoma .; Dodoma ;Geografía
la capital de Tayikistán es Dusambé .; Dusambé ;Geografía
la capital de Timor Oriental es Dili .; Dili ;Geografía
la capital de Togo es Lomé .; Lomé ;Geografía
la capital de Tonga es Nukualofa .; Nukualofa ;Geografía
la capital de Trinidad y Tobago es Puerto España .; España ;Geografía
la capital de Túnez es Túnez .; Túnez ;Geografía
la capital de Turkmenistán es Asjabad .; Asjabad ;Geografía
la capital de Turquía es Ankara .; Ankara ;Geografía
la capital de Tuvalu es Funafuti .; Funafuti ;Geografía
la capital de Ucrania es Kiev .; Kiev ;Geografía
la capital de Uganda es Kampala .; Kampala ;Geografía
la capital de Uruguay es Montevideo .; Montevideo ;Geografía
la capital de Uzbekistán es Taskent .; Taskent ;Geografía
la capital de Vanuatu es Port Vila .; Vila ;Geografía
la capital de Vaticano es Vaticano .; Vaticano ;Geografía
la capital de Venezuela es Caracas .; Caracas ;Geografía
la capital de Vietnam es Hanói .; Hanói ;Geografía
la capital de Yemen es Saná .; Saná ;Geografía
la capital de Yibuti es Yibuti .; Yibuti ;Geografía
la capital de Zambia es Lusaka .; Lusaka ;Geografía
la capital de Zimbabue es Harare .; Harare ;Geografía
